week_start,roll7_GHGE_SF,roll7_LU_SF,roll7_WU_SF,roll7_composite_norm,roll7_GHGE_perkg,roll7_LU_perkg,roll7_WU_perkg,roll7_composite_intensity_norm
2023-01-01,971526.801429,2508276.985714,165768728.958571,0.695286,5.259682,11.939887,272.840547,0.620545
2023-01-08,990724.227143,2580921.541429,170486401.908571,0.713806,5.364339,12.187912,278.133756,0.632966
2023-01-15,951654.541429,2370133.945714,158350992.121429,0.666843,4.921168,11.13883,255.874047,0.580506
2023-01-22,894703.854286,2077063.91,141227127.41,0.600461,4.32138,9.718494,225.706008,0.509466
2023-01-29,941642.152857,2302958.265714,154504036.195714,0.652311,4.754231,10.743242,247.456131,0.560713
2023-02-05,980162.812857,2490062.495714,164851814.617143,0.693454,5.103164,11.570742,265.035867,0.602084
2023-02-12,985436.094286,2521374.585714,167153794.814286,0.701692,5.186233,11.766447,269.188457,0.611886
2023-02-19,1033499.997143,2769732.271429,180946842.142857,0.755982,5.703786,12.99161,295.141939,0.673118
2023-02-26,922945.622857,2234439.437143,150356689.134286,0.635565,4.661739,10.524664,242.839203,0.549792
2023-03-05,1036448.322857,2807832.998571,181369866.604286,0.759065,5.887773,13.442756,304.736078,0.695434
2023-03-12,945316.92,2387006.177143,158929273.93,0.668069,5.043291,11.428182,262.026117,0.594981
2023-03-19,994246.692857,2659041.89,174057457.372857,0.72701,5.667034,12.904392,293.300299,0.668767
2023-03-26,842405.491429,1945750.965714,132170920.912857,0.56282,4.278269,9.613128,223.291872,0.504116
2023-04-02,950551.618571,2509112.018571,164740883.657143,0.689284,5.487853,12.480042,284.289565,0.647545
2023-04-09,960841.445714,2598318.91,169505135.49,0.707186,5.786591,13.187126,299.279685,0.682895
2023-04-16,839965.618571,2041897.367143,137032919.14,0.579272,4.690618,10.590754,244.116393,0.553039
2023-04-23,854731.971429,2152672.877143,143302317.761429,0.602763,5.004513,11.335907,260.038899,0.590352
2023-04-30,862070.227143,2235222.01,147345057.141429,0.618004,5.317907,12.076642,275.67506,0.627349
2023-05-07,763290.052857,1787248.228571,121213541.977143,0.514824,4.401209,9.906907,229.675792,0.518875
2023-05-14,806858.357143,2043357.428571,135982912.475714,0.571344,5.076576,11.507182,263.714235,0.598936
2023-05-21,809813.725714,2102683.27,138512932.678571,0.580925,5.318689,12.079843,275.794587,0.627527
2023-05-28,744916.155714,1821931.784286,122113374.424286,0.515734,4.757661,10.751374,247.619377,0.561112
2023-06-04,746836.582857,1865835.087143,122792405.735714,0.519571,4.997829,11.332104,259.886513,0.589906
2023-06-11,766998.807143,2007264.452857,132335462.817143,0.553909,5.411679,12.299808,280.491587,0.638552
2023-06-18,795092.11,2179724.9,140100815.004286,0.585906,5.957206,13.594909,307.834539,0.703147
2023-06-25,786944.611429,2171989.65,141087294.257143,0.58699,6.041975,13.791133,312.077317,0.713094
2023-07-02,707142.051429,1798662.631429,119273158.988571,0.501297,5.107806,11.581534,265.283298,0.602641
2023-07-09,714101.234286,1854592.345714,121883640.402857,0.511586,5.353461,12.164146,277.616307,0.631734
2023-07-16,734915.455714,1978730.367143,129275586.931429,0.539562,5.704587,12.992574,295.139726,0.673165
2023-07-23,709958.605714,1865380.155714,122778539.068571,0.51377,5.471827,12.442313,283.512523,0.645673
2023-07-30,706875.965714,1857271.797143,122377924.56,0.511895,5.455499,12.403519,282.69594,0.643741
2023-08-06,683640.435714,1752391.924286,115370291.128571,0.485327,5.134485,11.638887,266.158085,0.605343
2023-08-13,710354.757143,1876249.971429,122729507.138571,0.514123,5.507685,12.52592,285.154253,0.649774
2023-08-20,647263.492857,1574418.377143,105213238.208571,0.445387,4.592411,10.344062,237.908523,0.540194
2023-08-27,718150.561429,1889666.075714,124429565.642857,0.520436,5.465177,12.426391,283.176446,0.644882
2023-09-03,663124.12,1602069.125714,107403994.794286,0.454832,4.660214,10.518983,242.577105,0.549434
2023-09-10,679736.15,1657324.538571,111298540.485714,0.470055,4.704088,10.624685,244.949164,0.554788
2023-09-17,714601.882857,1802120.074286,119824087.907143,0.504076,5.033104,11.404138,261.502232,0.593766
2023-09-24,755764.994286,1975603.921429,130202332.265714,0.545183,5.42303,12.32691,281.068501,0.639904
2023-10-01,746562.252857,1896550.79,125989751.857143,0.529331,5.083453,11.522324,263.974814,0.599666
2023-10-08,772139.967143,1986579.567143,131281935.848571,0.551068,5.232073,11.873966,271.405027,0.617229
2023-10-15,756073.624286,1864737.58,124750049.157143,0.526237,4.845483,10.959763,252.067483,0.571544
2023-10-22,850695.202857,2291508.871429,149107167.007143,0.623167,5.736453,13.070468,296.818743,0.677039
2023-10-29,846733.91,2230422.065714,146937092.9,0.614329,5.483727,12.470309,284.116477,0.647084
2023-11-05,831908.511429,2111100.442857,139908935.758571,0.588453,5.11341,11.595134,265.564931,0.60331
2023-11-12,769830.627143,1761638.392857,120288331.038571,0.512355,4.226488,9.49421,220.965581,0.498259
2023-11-19,830791.721429,2024676.55,135464125.924286,0.572949,4.709703,10.636972,245.124406,0.555354
2023-11-26,859078.115714,2118199.377143,141964219.067143,0.598496,4.847939,10.966202,252.249075,0.57189
2023-12-03,904431.307143,2304852.885714,153106370.324286,0.642824,5.131928,11.638066,266.482746,0.605477
2023-12-10,890627.478571,2196484.085714,146290609.712857,0.618106,4.829805,10.92481,251.356099,0.569784
2023-12-17,944300.26,2429422.08,159852429.935714,0.672048,5.249808,11.919333,272.42748,0.619487
2023-12-24,846695.951429,2235684.247143,146562329.8,0.613519,4.696235,10.679674,243.314741,0.554161
