week_start,lcfs_cat,calendar_month,GHGE_weekly_mean,LU_weekly_mean,WU_weekly_mean,GHGE_perkg_weekly_mean,LU_perkg_weekly_mean,WU_perkg_weekly_mean,GHGE_weekly_rank,LU_weekly_rank,WU_weekly_rank,GHGE_annual_mean,GHGE_annual_min,GHGE_annual_max,GHGE_annual_share,GHGE_annual_rank,GHGE_pct_from_annual_mean,GHGE_perkg_annual_mean,GHGE_perkg_annual_min,GHGE_perkg_annual_max,GHGE_perkg_max_abs_dev,GHGE_perkg_annual_rank,GHGE_perkg_pct_from_annual_mean,LU_annual_mean,LU_annual_min,LU_annual_max,LU_annual_share,LU_annual_rank,LU_pct_from_annual_mean,LU_perkg_annual_mean,LU_perkg_annual_min,LU_perkg_annual_max,LU_perkg_max_abs_dev,LU_perkg_annual_rank,LU_perkg_pct_from_annual_mean,WU_annual_mean,WU_annual_min,WU_annual_max,WU_annual_share,WU_annual_rank,WU_pct_from_annual_mean,WU_perkg_annual_mean,WU_perkg_annual_min,WU_perkg_annual_max,WU_perkg_max_abs_dev,WU_perkg_annual_rank,WU_perkg_pct_from_annual_mean
2023-01-01,Apples,0,10937.388886,44097.197029,1817006.459386,6.892066,14.961031,330.9443,53,17,55,13515.047273,4743.4587,25344.524886,1.627749,9,-19.072507,6.752653,5.855801,7.490089,0.896852,4,2.064562,33887.966477,10084.909614,56661.248771,1.600403,13,30.126418,15.376166,12.529469,17.143777,2.846697,4,-2.699858,2061872.285074,968245.460243,3338605.478743,1.470785,59,-11.875897,345.253507,291.414781,383.295296,53.838726,5,-4.144551
2023-01-01,Bacon and ham,0,20553.592843,36988.312743,1534084.116929,5.480376,12.042281,294.625245,6,35,59,12209.666901,6163.117929,21407.243457,1.470529,54,68.338686,5.577987,4.545504,6.41361,1.032483,19,-1.749929,30898.902441,12613.283514,52330.609071,1.45924,52,19.707529,12.684706,9.9348,14.318058,2.749906,20,-5.064567,2124285.382443,913383.527343,3580712.955357,1.515306,44,-27.783521,287.688748,255.310755,313.731539,32.377993,20,2.411112
2023-01-01,"Baker's yeast, dessert preparations, soups",0,19955.421514,60201.163529,1389688.281114,5.529672,12.990773,297.935075,10,4,62,13039.043932,4633.437586,21920.901214,1.570419,19,53.043594,5.943002,4.944615,6.853949,0.998387,12,-6.954903,32266.720839,14999.979271,67555.436171,1.523837,36,86.573541,13.820434,12.162521,15.372274,1.657913,11,-6.003148,2245159.827976,1053797.882157,4177472.922071,1.601529,9,-38.102924,305.447115,273.624847,353.451175,48.00406,13,-2.459359
2023-01-01,Bananas,0,9328.429043,40500.9453,3339192.338286,4.12743,8.45137,223.591678,58,23,10,12988.5722,5904.824929,24614.541786,1.56434,20,-28.179719,3.996318,2.41777,4.678881,1.578548,56,3.280831,31452.044168,10735.260129,61925.940129,1.485363,47,28.770471,8.915687,6.645052,10.565144,2.270635,55,-5.207868,2184982.225772,909648.377786,3959319.7042,1.558603,23,52.824691,210.497815,181.633714,237.25207,28.864101,54,6.220427
2023-01-01,Beef,0,20161.408729,28066.092071,2546480.879257,3.976179,7.734338,208.534421,8,57,32,13383.713145,6675.224971,23514.028914,1.611931,11,50.641369,3.628955,2.936474,4.430322,0.801367,60,9.568142,30845.003169,10649.184686,54756.159643,1.456695,54,-9.009275,8.239065,6.478582,9.904176,1.760483,59,-6.12602,2169457.746,1058183.935443,3748418.651843,1.547529,26,17.378681,194.410391,166.193391,224.419815,30.009424,59,7.265059
2023-01-01,Berries,0,17819.447214,27424.2674,2138024.903171,5.107,15.62756,298.083144,17,58,43,11306.801225,3653.770971,19714.012,1.361788,65,57.599367,6.132759,5.107,7.041903,1.025759,10,-16.725896,30629.219362,11929.234871,66919.795071,1.446504,58,-10.463708,14.057573,10.955914,16.589809,3.101659,10,11.168264,2124903.863622,930136.940986,4104324.266914,1.515747,41,0.617489,314.352811,276.783533,349.168327,37.569278,10,-5.175607
2023-01-01,Bread,0,15455.747929,36681.890214,2630308.724957,4.111993,10.807335,258.288835,30,36,28,11864.103924,4021.134986,20059.015871,1.428909,62,30.273201,4.677216,3.906446,5.583612,0.906396,40,-12.084599,34656.606516,12215.677386,82486.947886,1.636703,6,5.84386,10.697717,8.499658,12.322911,2.198059,38,1.024685,2052536.52841,757047.436471,3739986.084271,1.464126,60,28.14918,244.604529,218.573965,274.878854,30.274325,39,5.594461
2023-01-01,"Buns, crispbread and biscuits",0,15034.824286,48775.408343,2395538.4075,4.872742,11.750519,256.425758,32,11,38,12676.389696,6499.283414,28543.580243,1.526741,36,18.604939,5.305066,4.650946,5.994581,0.689515,25,-8.149269,36646.068576,12022.812629,66315.724914,1.730657,2,33.098611,11.925465,9.97449,14.070433,2.144968,25,-1.466993,2127641.068581,1057690.868186,5054125.786214,1.5177,40,12.591284,278.924666,236.920443,311.828691,42.004223,23,-8.066303
2023-01-01,Butter,0,28513.641229,40646.408957,1504690.5886,4.225912,8.970533,239.186916,1,22,61,13675.211597,6596.975671,28513.641229,1.647039,4,108.506033,4.399032,3.359777,5.134338,1.039255,50,-3.935417,31696.040649,17502.251757,71260.017429,1.496886,44,28.238127,9.868903,7.803711,11.609818,2.065192,50,-9.103034,1918998.257109,643691.475786,3846117.709286,1.36887,65,-21.589789,232.835078,190.33934,260.610379,42.495738,49,2.728042
2023-01-01,Cabbages,0,6088.601143,33733.041671,2494758.352,5.198155,11.675056,270.621811,65,44,33,13249.354826,5177.797371,21846.766043,1.595749,15,-54.046056,5.332093,4.414778,6.270701,0.938608,24,-2.51193,30483.970033,9976.078786,77878.139114,1.439644,59,10.658296,12.108684,8.916389,13.669471,3.192295,24,-3.581133,2169835.944558,905649.2346,3995793.648843,1.547799,25,14.974515,275.082322,239.891929,298.864677,35.190393,25,-1.621519
2023-01-01,Cakes and puddings,0,19606.880486,46644.712243,992508.619514,5.018627,11.402138,256.449324,11,14,65,13593.613671,6729.199471,22195.566929,1.637211,7,44.23597,4.85899,3.980296,5.84218,0.983191,35,3.285405,32480.287358,10798.728029,72098.706429,1.533923,34,43.609297,11.202302,8.919941,12.905222,2.282361,32,1.783881,2191914.787119,882021.791329,3500798.3829,1.563548,18,-54.719562,261.415696,228.925347,303.916579,42.500883,28,-1.899799
2023-01-01,Cheese and curd,0,15879.950014,43106.896057,2032821.714671,5.279348,13.676887,289.093519,27,19,46,12447.063365,5947.429214,28634.787157,1.499121,47,27.579892,5.810911,5.060802,6.587271,0.77636,16,-9.147675,34744.6015,7594.856114,71971.501386,1.640858,5,24.067896,12.985032,11.344415,15.07695,2.091918,18,5.328099,2140832.685462,950307.310957,3853094.627271,1.52711,36,-5.045278,298.863063,265.148842,343.02049,44.157427,17,-3.268903
2023-01-01,Chocolate,0,13597.899214,38243.136371,2331572.5503,6.390291,14.7964,321.894482,41,32,40,12297.427485,6210.776,23026.915343,1.481099,51,10.575153,6.291164,5.481542,7.137234,0.84607,8,1.575657,34228.25229,11302.854757,80012.146571,1.616473,9,11.729737,14.420913,11.09055,15.965644,3.330363,8,2.603766,2117712.740304,1060116.860457,4000383.155286,1.510618,46,10.098622,322.864134,279.859556,358.697699,43.004578,8,-0.300328
2023-01-01,Citrus fruits,0,10789.8339,30485.857757,1843515.276,5.586919,12.302837,277.387684,54,52,54,12840.450703,5506.902971,22163.767571,1.5465,26,-15.969975,5.527766,4.467632,6.215628,1.060134,21,1.070103,33133.984307,14403.665571,63571.4396,1.564795,27,-7.992177,12.448357,10.939927,14.19359,1.745233,22,-1.168992,2087276.569676,818523.634743,3879556.842757,1.488907,57,-11.678438,283.896612,231.252874,314.557207,52.643738,21,-2.292711
2023-01-01,Cocoa and powdered chocolate,0,20846.239757,39614.942014,3005088.789043,4.570612,10.838758,241.620476,5,26,17,12305.158345,5794.191286,22638.304043,1.48203,50,69.410577,4.571904,3.674635,5.453838,0.897269,45,-0.028261,34427.011064,12979.309271,66131.952843,1.62586,8,15.069362,10.358154,8.543747,12.20438,1.846226,43,4.639862,2261979.910663,1002221.044057,4166863.936671,1.613527,8,32.852143,238.426933,211.119828,263.931379,27.307105,43,1.339422
2023-01-01,Coffee,0,16898.537986,62851.089043,1291267.070414,4.214119,10.138785,244.418276,22,1,64,13204.831786,7161.805486,22858.753071,1.590386,16,27.972384,4.514451,3.662141,5.662427,1.147976,48,-6.652679,33240.81329,13293.775686,62851.089043,1.56984,23,89.078072,10.340896,8.509483,11.702093,1.831413,45,-1.954485,2205408.404411,1291267.070414,4377598.2603,1.573173,16,-41.44998,235.418917,195.004199,264.84022,40.414718,47,3.8227
2023-01-01,Confectionery products,0,18540.751971,31915.595886,2705735.984486,6.015426,13.279191,295.167417,15,46,24,12203.148664,5865.043271,19330.567771,1.469744,55,51.934165,5.686799,5.019198,6.681901,0.995102,18,5.778767,35017.507242,20609.021857,74699.743071,1.653747,4,-8.858173,13.056616,10.671742,15.090218,2.384874,17,1.70469,2276903.861705,728926.758071,3706789.064586,1.624173,6,18.834002,298.486195,254.238003,331.974279,44.248192,18,-1.11187
2023-01-01,Dairy alternative,0,11862.761657,22338.894357,3377412.099214,4.648955,11.733844,256.500029,49,63,9,12580.260124,5483.591743,23328.973843,1.515163,42,-5.703367,4.894189,4.018507,5.710141,0.875682,34,-5.010717,32446.254246,9543.728057,52630.595357,1.532316,35,-31.151084,11.195022,9.161108,12.767409,2.033914,33,4.813054,2224164.495804,1146236.077657,4228759.378914,1.586553,12,51.850823,260.101674,230.88071,293.591121,33.489447,32,-1.384707
